                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8735,                 3.7983,                 1.2567,                0.02142,                 0.3727,                0.14051,                0.06414,                 1.4288,                 3.6618,                0.98708,             0.00010003,             0.00010003,             0.00010003
                      1,                 1.6732,                 2.3935,                 1.0916,                0.03292,                0.49786,                0.20627,                0.08258,                 1.5479,                 3.3135,                  1.002,             0.00014361,             0.00014361,             0.00014361
                      2,                 1.5453,                 1.6228,                 1.0271,                0.04188,                0.56379,                0.25895,                0.11635,                 1.4672,                 3.1251,                0.97282,             0.00011175,             0.00011175,             0.00011175
